Name,Slack,Levels,High Fanout,From,To,Total Delay,Logic Delay,Net Delay,Requirement,Source Clock,Destination Clock,Exception,Clock Uncertainty
Path 1,-19.62,36,26,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/input_regs_reg[2][3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/s_axi_rdata_reg_reg[0]/D,39.28,8.30,30.98,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 2,-19.55,36,26,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/input_regs_reg[2][3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/s_axi_rdata_reg_reg[2]/D,39.20,8.30,30.90,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 3,-19.53,36,26,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/input_regs_reg[2][3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/s_axi_rdata_reg_reg[1]/D,39.19,8.30,30.88,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 4,-19.14,35,26,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/input_regs_reg[2][3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/s_axi_rdata_reg_reg[3]/D,38.80,8.18,30.62,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 5,-11.63,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L1/slut_1334/init_reg_reg[0]_srl32/CE,30.55,0.61,29.94,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 6,-11.62,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L1/slut_1794/init_reg_reg[0]_srl32/CE,30.76,0.58,30.18,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 7,-11.34,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L0/slut_578/init_reg_reg[0]_srl32/CE,30.42,0.58,29.84,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 8,-10.98,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L0/slut_376/init_reg_reg[0]_srl32/CE,30.04,0.58,29.46,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 9,-10.87,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L0/slut_1593/init_reg_reg[0]_srl32/CE,30.01,0.58,29.43,20.00,clk_fpga_0,clk_fpga_0,,0.30
Path 10,-10.85,1,3693,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/u_axi_ctrl/gate_sel_r_reg[3]/C,design_100_i/llnn_wrapper_bd_0/inst/u_core/u_net/L1/slut_1921/init_reg_reg[0]_srl32/CE,29.89,0.58,29.31,20.00,clk_fpga_0,clk_fpga_0,,0.30
